in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
skins such as,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sleep and group,0.217675 Text_1.txt Text_2.txt Text_3.txt 
slipped back,0.217675 Text_1.txt Text_2.txt Text_3.txt 
smartphone,0.217675 Text_1.txt Text_2.txt Text_3.txt 
smartphone overuse Fortnite,0.217675 Text_1.txt Text_3.txt 
so I can,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
so if the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
so long,0.217675 Text_1.txt Text_2.txt 
so much,0.217675 Text_1.txt Text_2.txt Text_3.txt 
social media,0.217675 Text_1.txt Text_2.txt Text_3.txt 
soft mouths,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
softening action of,0.217675 Text_1.txt 
some list,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
some of,0.870701 Text_1.txt Text_2.txt 
some of whom,0.653026 Text_1.txt Text_2.txt 
some players warns,0.217675 Text_1.txt Text_2.txt Text_3.txt 
some progress in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
some types,0.43535 Text_1.txt 
something low,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
something new Variety,0.217675 Text_1.txt 
sometimes even,0.217675 Text_1.txt Text_2.txt 
sometimes to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
son Carson has,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sophisticated in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sounder screen,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
sounder will,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
sounding at speed,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
southeast,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
southeast to the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
space agency has,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
space suit with,0.217675 Text_1.txt Text_2.txt Text_3.txt 
spacesuit designs,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
spacesuits since the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
spacewalks on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
speaks on the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
special bond,0.217675 Text_1.txt Text_2.txt 
specialist In October,0.217675 Text_1.txt Text_2.txt Text_3.txt 
species for their,0.217675 Text_1.txt Text_2.txt 
specifically at,0.217675 Text_1.txt 
speed,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
speed in an,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
speed will turn,0.217675 Text_1.txt Text_4.txt 
spikes that,0.217675 Text_1.txt 
spin,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
spin combo with,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
spinach Swiss chard,0.217675 Text_1.txt 
spiritual fashion thread,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
spreads,0.217675 Text_2.txt Text_4.txt 
sprouts,0.217675 Text_1.txt 
squid found,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
squid then the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
squid would be,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
standing Teachers complain,0.217675 Text_1.txt Text_2.txt Text_3.txt 
standing matches that,0.217675 Text_1.txt Text_2.txt Text_3.txt 
star pitcher,0.217675 Text_1.txt Text_2.txt Text_3.txt 
starchier vegetables,0.217675 Text_1.txt 
starchy vegetables,0.43535 Text_1.txt 
stared at,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
start against,0.217675 Text_1.txt Text_2.txt Text_3.txt 
started,0.217675 Text_1.txt Text_2.txt Text_3.txt 
started Its the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
stating that loot,0.217675 Text_1.txt Text_2.txt Text_3.txt 
stemming from,0.217675 Text_1.txt 
step onto,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
still havent grasped,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
stir fries,0.217675 Text_1.txt 
stomach,0.217675 Text_1.txt 
stomach Fruit probably,0.217675 Text_1.txt 
stop for,0.217675 Text_1.txt Text_2.txt Text_3.txt 
store chopped colourful,0.217675 Text_1.txt 
streaming,0.217675 Text_1.txt Text_2.txt Text_3.txt 
streaming service with,0.217675 Text_1.txt Text_2.txt Text_3.txt 
stripes,0.217675 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
striping on,0.217675 Text_1.txt Text_2.txt Text_3.txt 
stroke A meta,0.217675 Text_1.txt 
stroke compared with,0.217675 Text_1.txt 
stroke separately,0.217675 Text_1.txt 
strong,0.217675 Text_1.txt 
strong link between,0.217675 Text_1.txt 
structure,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
structure I like,0.217675 Text_1.txt Text_3.txt Text_4.txt 
studies because they,0.217675 Text_1.txt 
studies cohort studies,0.217675 Text_1.txt 
studies following four,0.217675 Text_1.txt 
studies found that,0.43535 Text_1.txt 
studies have suggested,0.217675 Text_1.txt Text_2.txt 
studies including,0.217675 Text_1.txt Text_2.txt 
studies other,0.217675 Text_1.txt 
studies suggest,0.217675 Text_1.txt 
studies which follow,0.217675 Text_1.txt 
study by Farvid,0.217675 Text_1.txt 
study examined the,0.217675 Text_1.txt 
study of over,0.653026 Text_1.txt 
study stating,0.217675 Text_1.txt Text_2.txt Text_3.txt 
study to,0.217675 Text_1.txt 
studying a,0.217675 Text_1.txt Text_2.txt 
stylish That,0.217675 Text_1.txt Text_2.txt Text_5.txt 
subject to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
substantial,0.217675 Text_1.txt Text_3.txt 
substantial amounts of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
successful getting the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
such as a,0.217675 Text_1.txt Text_3.txt Text_4.txt 
such as oranges,0.217675 Text_1.txt 
such control,0.217675 Text_1.txt Text_2.txt Text_3.txt 
such lifestyle,0.217675 Text_1.txt Text_2.txt 
sucks,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sufficient,0.217675 Text_1.txt Text_2.txt 
sugar spikes that,0.217675 Text_1.txt 
sugar which can,0.217675 Text_1.txt 
suggest that dog,0.217675 Text_1.txt Text_2.txt 
suggested,0.217675 Text_1.txt Text_2.txt 
suggestions including,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
suggests,0.653026 Text_1.txt 
suggests that non,0.217675 Text_1.txt 
suit supposed,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
suits,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
suits used,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
summer he plans,0.217675 Text_1.txt Text_2.txt Text_3.txt 
support ever,0.217675 Text_1.txt Text_2.txt 
support our,0.217675 Text_1.txt Text_2.txt 
supposed,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
supposed to be,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
surface NASA,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
surface and help,0.217675 Text_1.txt Text_5.txt 
surface right into,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
surge,0.217675 Text_1.txt Text_2.txt Text_3.txt 
surge in parents,0.217675 Text_1.txt Text_3.txt 
surprise large,0.217675 Text_1.txt Text_4.txt 
sustainable,0.217675 Text_1.txt Text_2.txt Text_5.txt 
sustainable lunar future,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
symptoms,0.217675 Text_1.txt 
symptoms of an,0.217675 Text_1.txt 
system This can,0.217675 Text_1.txt 
t,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
t shirt and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
tackle shops is,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
take an entire,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
taken away combined,0.217675 Text_1.txt Text_3.txt 
tasty vegetables,0.217675 Text_1.txt 
teachers,0.43535 Text_1.txt Text_3.txt 
teachers and bosses,0.217675 Text_1.txt Text_2.txt Text_3.txt 
teachers have been,0.217675 Text_1.txt Text_2.txt Text_3.txt 
team also,0.217675 Text_1.txt 
teams,0.217675 Text_1.txt Text_2.txt Text_3.txt 
tear easily If,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
tee,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
tee shirt one,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
temperature extremes and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
than both,0.217675 Text_1.txt Text_2.txt 
than case,0.217675 Text_1.txt 
than it,0.217675 Text_1.txt Text_2.txt Text_3.txt 
than one,0.217675 Text_1.txt 
than red emperor,0.217675 Text_1.txt Text_4.txt 
that a diet,0.43535 Text_1.txt 
that adding,0.217675 Text_1.txt 
that adults aged,0.217675 Text_1.txt Text_2.txt 
that at least,0.217675 Text_1.txt Text_2.txt 
that can increase,0.217675 Text_1.txt 
that doesnt hold,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
that dog owners,0.217675 Text_1.txt Text_2.txt 
that foods containing,0.217675 Text_1.txt 
that has,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
that has such,0.217675 Text_1.txt Text_2.txt Text_3.txt 
that have come,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
that having dogs,0.217675 Text_1.txt Text_2.txt 
that included Vulcan,0.217675 Text_1.txt Text_3.txt 
that look,0.217675 Text_1.txt Text_5.txt 
that looks,0.217675 Text_1.txt Text_5.txt 
that loot boxes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
that may,0.217675 Text_1.txt Text_2.txt Text_3.txt 
that owning a,0.217675 Text_1.txt Text_2.txt 
that parents keep,0.217675 Text_1.txt Text_2.txt Text_3.txt 
that restricted the,0.217675 Text_1.txt 
that showed that,0.217675 Text_1.txt Text_2.txt 
that some types,0.217675 Text_1.txt 
that suit,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
that the,0.217675 Text_1.txt 
that this fruit,0.217675 Text_1.txt 
that tight,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
that tomatoes may,0.217675 Text_1.txt 
that vegetables and,0.217675 Text_1.txt 
that women and,0.217675 Text_1.txt 
the American Institute,0.217675 Text_1.txt 
the Apollo,0.217675 Text_1.txt Text_3.txt Text_5.txt 
the Capricorn Coast,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the Harvard,0.43535 Text_1.txt 
the Health Professionals,1.08838 Text_1.txt 
the National,0.217675 Text_1.txt Text_3.txt 
the Optimal,0.217675 Text_1.txt 
the Reset,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the United Kingdom,0.217675 Text_1.txt Text_2.txt 
the World Cancer,0.217675 Text_1.txt 
the addiction issue,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the arch,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the astronaut look,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
the backdrop,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the backside to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the behavioural specialist,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the board According,0.217675 Text_1.txt Text_2.txt 
the bottom Ive,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the bottom quickly,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the buggers,0.217675 Text_1.txt Text_3.txt Text_4.txt 
the carbohydrate was,0.217675 Text_1.txt 
the closely held,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the concept Getting,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the days,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the diet,0.217675 Text_1.txt 
the effect,0.217675 Text_1.txt 
the enforced,0.217675 Text_1.txt Text_2.txt 
the existing,0.217675 Text_1.txt Text_2.txt 
the first,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the following categories,0.217675 Text_1.txt 
the game console,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the game of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the go,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
the highest,0.870701 Text_1.txt 
the highest intake,0.217675 Text_1.txt 
the hot,0.217675 Text_1.txt Text_4.txt Text_5.txt 
the internet,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the issue,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the kind,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the last person,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the like,0.217675 Text_1.txt 
the lower the,0.217675 Text_1.txt 
the lowest category,0.217675 Text_1.txt 
the lunar,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
the minor changes,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the moon but,0.217675 Text_1.txt Text_2.txt Text_5.txt 
the most fruit,0.217675 Text_1.txt 
the mouth throat,0.217675 Text_1.txt 
the number,0.653026 Text_1.txt Text_4.txt 
the occurrence,0.217675 Text_1.txt 
the offshore,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the old,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the only,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
the pigments that,0.217675 Text_1.txt 
the produce aisle,0.217675 Text_1.txt 
the question on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
the reason for,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the reef with,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the research,0.217675 Text_1.txt Text_2.txt 
the same,0.217675 Text_1.txt 
the sounder,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the spot,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the suits,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
the tip,0.217675 Text_1.txt Text_2.txt Text_4.txt 
the transducer,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the untrained,0.217675 Text_1.txt Text_4.txt 
the video game,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the weather,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the words,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
the world grappling,0.217675 Text_1.txt Text_3.txt 
their credit card,0.217675 Text_1.txt Text_2.txt Text_3.txt 
their diastolic blood,0.217675 Text_1.txt 
their intakes,0.217675 Text_1.txt 
their juices,0.217675 Text_1.txt 
their loyalty and,0.217675 Text_1.txt Text_2.txt 
their systolic,0.217675 Text_1.txt 
them alive,0.217675 Text_1.txt Text_2.txt Text_4.txt 
them if,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
them out,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
themselves All,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
then the Lunds,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
there,0.43535 Text_1.txt Text_5.txt 
these cousins,0.217675 Text_1.txt Text_2.txt 
these studies,0.217675 Text_1.txt 
they arent,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
they do,0.217675 Text_1.txt Text_2.txt Text_3.txt 
they get,0.217675 Text_1.txt Text_2.txt 
they leave,0.217675 Text_1.txt Text_2.txt Text_3.txt 
they re,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
third,0.217675 Text_1.txt Text_2.txt 
thirty four premenopausal,0.217675 Text_1.txt 
thirty six thousand,0.217675 Text_1.txt 
this Spotlight,0.43535 Text_1.txt Text_2.txt 
this area,0.43535 Text_1.txt Text_4.txt 
this bond been,0.217675 Text_1.txt Text_2.txt 
this protective,0.217675 Text_1.txt 
those in the,0.217675 Text_1.txt 
those with,0.217675 Text_1.txt 
thousand and,0.653026 Text_1.txt Text_3.txt Text_5.txt 
thousand and seventeen,0.217675 Text_1.txt Text_3.txt 
thousand female nurses,0.217675 Text_1.txt 
thousand four hundred,0.217675 Text_1.txt 
thousand people watching,0.217675 Text_1.txt Text_2.txt Text_3.txt 
thousand three hundred,0.217675 Text_1.txt 
thread between,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
three men,0.217675 Text_1.txt 
three years who,0.217675 Text_1.txt 
throat cancer,0.217675 Text_1.txt 
throat voice box,0.217675 Text_1.txt 
through have,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
through old diaries,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
through winter,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
tight,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
time Keeping a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
time into,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
time sometimes to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
time spent walking,0.217675 Text_1.txt Text_2.txt 
times been banned,0.217675 Text_1.txt Text_2.txt Text_3.txt 
tip matched,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to Animals an,0.217675 Text_1.txt Text_2.txt 
to a,1.08838 Text_1.txt Text_2.txt Text_4.txt 
to a third,0.217675 Text_1.txt Text_2.txt 
to areas,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to be more,0.217675 Text_1.txt Text_3.txt 
to comment,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to counselling because,0.217675 Text_1.txt Text_3.txt 
to cut down,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to detail,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to eat,0.43535 Text_1.txt 
to establish,0.217675 Text_1.txt Text_2.txt 
to find,0.43535 Text_1.txt Text_2.txt Text_4.txt 
to gambling,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to gaming consoles,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to get at,0.217675 Text_1.txt 
to get unhooked,0.217675 Text_1.txt Text_3.txt 
to have,0.653026 Text_1.txt 
to head,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to his,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to hook,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to kick,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
to locate,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to make after,0.217675 Text_1.txt Text_2.txt 
to meetings,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to play,0.43535 Text_1.txt Text_3.txt 
to pull,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to put a,0.217675 Text_1.txt Text_2.txt 
to read,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to report,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to seek,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to sell jerseys,0.217675 Text_1.txt Text_3.txt 
to stop,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to tempt a,0.217675 Text_1.txt 
to the Esky,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to the detriment,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to the moon,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
to the old,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to this,0.217675 Text_1.txt 
to try,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
to twice daily,0.217675 Text_1.txt Text_2.txt 
to video,0.217675 Text_1.txt Text_3.txt 
to vigorous physical,0.217675 Text_1.txt Text_2.txt 
to walk for,0.217675 Text_1.txt Text_2.txt 
to whether their,0.217675 Text_1.txt Text_2.txt Text_3.txt 
together,0.217675 Text_1.txt Text_4.txt 
tomato,0.43535 Text_1.txt 
tomato products,0.217675 Text_1.txt 
tomatoes may,0.217675 Text_1.txt 
tomatoes or,0.217675 Text_1.txt 
too The,0.217675 Text_1.txt Text_2.txt Text_3.txt 
top of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
topic of,0.217675 Text_1.txt Text_2.txt 
total fat The,0.217675 Text_1.txt 
trained dogs,0.217675 Text_1.txt Text_2.txt 
transducer to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
travel time,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
treatment from insurers,0.217675 Text_1.txt Text_2.txt Text_3.txt 
trials and,0.217675 Text_1.txt 
trips May,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
trouble getting,0.217675 Text_1.txt Text_2.txt Text_3.txt 
truly valued companions,0.217675 Text_1.txt Text_2.txt 
try my luck,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
tumours A,0.217675 Text_1.txt 
tumours including,0.217675 Text_1.txt 
turn back around,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
turn travel time,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
turning up,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
tweeted the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
twelve hours a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
twenty children,0.217675 Text_1.txt Text_2.txt Text_3.txt 
twenty compulsive Fortnite,0.217675 Text_1.txt Text_3.txt 
twenty four,0.43535 Text_1.txt Text_5.txt 
twenty percent,0.217675 Text_1.txt 
twenty to,0.217675 Text_1.txt Text_2.txt 
twenty two,0.217675 Text_1.txt 
twenty years,0.217675 Text_1.txt 
twice as many,0.217675 Text_1.txt Text_2.txt Text_3.txt 
two additional,0.217675 Text_1.txt 
two diabetes Weight,0.217675 Text_1.txt 
two five billion,0.217675 Text_1.txt Text_2.txt Text_3.txt 
two hundred million,0.217675 Text_1.txt Text_2.txt Text_3.txt 
two thousand,1.08838 Text_1.txt Text_3.txt Text_5.txt 
two thousand three,0.217675 Text_1.txt 
type diabetes,0.217675 Text_1.txt 
type of gear,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
type two diabetes,0.653026 Text_1.txt 
types and colours,0.217675 Text_1.txt 
types of fruits,0.217675 Text_1.txt 
ubiquity of,0.217675 Text_1.txt Text_3.txt 
unclear when dogs,0.217675 Text_1.txt Text_2.txt 
under one,0.217675 Text_1.txt 
under ten,0.217675 Text_1.txt Text_2.txt Text_3.txt 
understand the,0.217675 Text_1.txt 
understanding of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
unhooked Epic has,0.217675 Text_1.txt Text_2.txt Text_3.txt 
unless it replaces,0.217675 Text_1.txt 
unsaturated fat or,0.217675 Text_1.txt 
until the last,0.217675 Text_1.txt Text_2.txt Text_3.txt 
untrained eye,0.217675 Text_1.txt Text_4.txt 
up Study included,0.217675 Text_1.txt 
up Study suggests,0.217675 Text_1.txt 
up empty I,0.217675 Text_1.txt Text_3.txt Text_4.txt 
up of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
up to,0.217675 Text_1.txt Text_2.txt 
upper number,0.217675 Text_1.txt 
us happier more,0.217675 Text_1.txt Text_2.txt 
used of,0.217675 Text_1.txt Text_3.txt Text_4.txt 
using,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
usual nanny haunts,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
valued companions famed,0.217675 Text_1.txt Text_2.txt 
values the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
variety of,0.217675 Text_1.txt 
various material,0.217675 Text_1.txt Text_2.txt 
vegetable fibre intake,0.217675 Text_1.txt 
vegetable intake less,0.217675 Text_1.txt 
vegetable rich diet,0.217675 Text_1.txt 
vegetables Salads soups,0.217675 Text_1.txt 
vegetables and,1.7414 Text_1.txt 
vegetables and low,0.217675 Text_1.txt 
vegetables can,0.217675 Text_1.txt 
vegetables carotenoids,0.217675 Text_1.txt 
vegetables contain indigestible,0.217675 Text_1.txt 
vegetables eaten,0.217675 Text_1.txt 
vegetables eight,0.217675 Text_1.txt 
vegetables exist,0.217675 Text_1.txt 
vegetables had an,0.217675 Text_1.txt 
vegetables legumes beans,0.217675 Text_1.txt 
vegetables like potatoes,0.217675 Text_1.txt 
vegetables likely contributed,0.217675 Text_1.txt 
vegetables may also,0.217675 Text_1.txt 
vegetables may protect,0.217675 Text_1.txt 
vegetables per,0.217675 Text_1.txt 
vegetables prevents,0.217675 Text_1.txt 
vegetables red,0.217675 Text_1.txt 
vegetables such as,0.653026 Text_1.txt 
vegetables the,0.217675 Text_1.txt 
vegetables was,0.217675 Text_1.txt 
vegetables women with,0.217675 Text_1.txt 
vegetarian,0.217675 Text_1.txt 
vegetarian diet was,0.217675 Text_1.txt 
version is,0.217675 Text_1.txt Text_3.txt 
very few opportunities,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
video game,0.653026 Text_1.txt Text_2.txt Text_3.txt 
video game addictions,0.217675 Text_1.txt Text_2.txt Text_3.txt 
video games And,0.217675 Text_1.txt Text_2.txt Text_3.txt 
video required,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
videos Its,0.217675 Text_1.txt Text_3.txt Text_4.txt 
viewed on Amazon,0.217675 Text_1.txt Text_2.txt Text_3.txt 
vigorous physical,0.217675 Text_1.txt Text_2.txt 
violence and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
vitamin A found,0.217675 Text_1.txt 
voice box,0.217675 Text_1.txt 
walk,0.217675 Text_1.txt Text_2.txt 
walking may in,0.217675 Text_1.txt Text_2.txt 
walks and sometimes,0.217675 Text_1.txt Text_2.txt 
wanting,0.217675 Text_1.txt Text_3.txt Text_4.txt 
wanting to put,0.217675 Text_1.txt Text_2.txt Text_4.txt 
war if a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
warmer months with,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
warnings about avoiding,0.217675 Text_1.txt Text_3.txt 
warns WHO,0.217675 Text_1.txt Text_3.txt 
was a,0.217675 Text_1.txt 
was able,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
was found,0.217675 Text_1.txt 
was replaced with,0.217675 Text_1.txt 
was strongly,0.217675 Text_1.txt 
was wanting,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
wasnt,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
watching others play,0.217675 Text_1.txt Text_2.txt Text_3.txt 
way around it,0.217675 Text_1.txt Text_2.txt 
